Sepal Length,Sepal Width,Petal Length,Petal Width,Type,Cluster,Distance from cluster 1 centroid,Distance from cluster 2 centroid,Distance from cluster 3 centroid
5.1,3.5,1.4,0.2,Iris-setosa,3,0.2573822,0.417752,0.0009223223
4.9,3,1.4,0.2,Iris-setosa,3,0.2028556,0.4113183,0.01831615
4.7,3.2,1.3,0.2,Iris-setosa,3,0.2393943,0.4421242,0.006974697
4.6,3.1,1.5,0.2,Iris-setosa,3,0.2087021,0.4127755,0.01311505
5,3.6,1.4,0.2,Iris-setosa,3,0.2779148,0.4328964,0.00350821
5.4,3.9,1.7,0.4,Iris-setosa,3,0.302129,0.4046624,0.02765727
4.6,3.4,1.4,0.3,Iris-setosa,3,0.256541,0.4404285,0.00276053
5,3.4,1.5,0.2,Iris-setosa,3,0.231676,0.3984336,6.151199E-05
4.4,2.9,1.4,0.2,Iris-setosa,3,0.2155495,0.4475298,0.03368962
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
5.4,3.7,1.5,0.2,Iris-setosa,3,0.2783723,0.4078143,0.01072967
4.8,3.4,1.6,0.2,Iris-setosa,3,0.225818,0.3935746,0.001101732
4.8,3,1.4,0.1,Iris-setosa,3,0.2059,0.4173844,0.01881611
4.3,3,1.1,0.1,Iris-setosa,3,0.2645884,0.5063121,0.02881968
5.8,4,1.2,0.2,Iris-setosa,3,0.3861907,0.493448,0.04655766
5.7,4.4,1.5,0.4,Iris-setosa,3,0.4751873,0.5366945,0.1073647
5.4,3.9,1.3,0.4,Iris-setosa,3,0.3494742,0.4721837,0.0270524
5.1,3.5,1.4,0.3,Iris-setosa,3,0.2573822,0.417752,0.0009223223
5.7,3.8,1.7,0.3,Iris-setosa,3,0.275398,0.3772774,0.02396154
5.1,3.8,1.5,0.3,Iris-setosa,3,0.3059216,0.4360178,0.01524341
5.4,3.4,1.7,0.2,Iris-setosa,3,0.2011523,0.3457363,0.0036906
5.1,3.7,1.5,0.4,Iris-setosa,3,0.2836601,0.4221662,0.008384228
4.6,3.6,1,0.2,Iris-setosa,3,0.3431196,0.5303631,0.01058495
5.1,3.3,1.7,0.5,Iris-setosa,3,0.1924431,0.3545012,0.002749801
4.8,3.4,1.9,0.2,Iris-setosa,3,0.1934596,0.3460842,0.004706144
5,3,1.6,0.2,Iris-setosa,3,0.1764588,0.3718123,0.01843917
5,3.4,1.6,0.4,Iris-setosa,3,0.2200497,0.3817633,0.0004224777
5.2,3.5,1.5,0.2,Iris-setosa,3,0.2432526,0.3955573,0.001324654
5.2,3.4,1.4,0.2,Iris-setosa,3,0.2392359,0.4049945,0.0007222891
4.7,3.2,1.6,0.2,Iris-setosa,3,0.2032552,0.3908532,0.006798148
4.8,3.1,1.6,0.2,Iris-setosa,3,0.1900256,0.3830121,0.01151502
5.4,3.4,1.5,0.4,Iris-setosa,3,0.223985,0.3786566,0.002548099
5.2,4.1,1.5,0.1,Iris-setosa,3,0.383019,0.4848645,0.04868007
5.5,4.2,1.4,0.2,Iris-setosa,3,0.4212654,0.51068,0.0671699
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
5,3.2,1.2,0.2,Iris-setosa,3,0.2431479,0.4418573,0.006374002
5.5,3.5,1.3,0.2,Iris-setosa,3,0.2634393,0.4167672,0.00516963
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
4.4,3,1.3,0.2,Iris-setosa,3,0.2337484,0.4623628,0.0244993
5.1,3.4,1.5,0.2,Iris-setosa,3,0.2292727,0.3930086,0.000202179
5,3.5,1.3,0.3,Iris-setosa,3,0.2722521,0.4406874,0.001260161
4.5,2.3,1.3,0.3,Iris-setosa,3,0.2326835,0.517146,0.1337919
4.4,3.2,1.3,0.2,Iris-setosa,3,0.2514116,0.4632059,0.0113585
5,3.5,1.6,0.6,Iris-setosa,3,0.236113,0.3894161,0.001083612
5.1,3.8,1.9,0.4,Iris-setosa,3,0.2619367,0.3718569,0.01920903
4.8,3,1.4,0.3,Iris-setosa,3,0.2059,0.4173844,0.01881611
5.1,3.8,1.6,0.2,Iris-setosa,3,0.2942951,0.4193475,0.01560485
4.6,3.2,1.4,0.2,Iris-setosa,3,0.2306132,0.4313209,0.007636428
5.3,3.7,1.5,0.2,Iris-setosa,3,0.2798145,0.4122779,0.009627461
5,3.3,1.4,0.2,Iris-setosa,3,0.2297256,0.4099371,0.001525283
7,3.2,4.7,1.4,Iris-versicolor,2,0.05488396,0.01662421,0.2885649
6.4,3.2,4.5,1.5,Iris-versicolor,2,0.03520703,0.02516389,0.2296458
6.9,3.1,4.9,1.5,Iris-versicolor,2,0.04538679,0.008470297,0.3159004
5.5,2.3,4,1.3,Iris-versicolor,1,0.01789939,0.1359595,0.2681174
6.5,2.8,4.6,1.5,Iris-versicolor,1,0.01120389,0.02673542,0.2817824
5.7,2.8,4.5,1.3,Iris-versicolor,1,0.002536774,0.04728436,0.2407719
6.3,3.3,4.7,1.6,Iris-versicolor,2,0.04774761,0.022228,0.2482156
4.9,2.4,3.3,1,Iris-versicolor,1,0.04240453,0.2054914,0.1780405
6.6,2.9,4.6,1.3,Iris-versicolor,1,0.01727366,0.02137351,0.2749952
5.2,2.7,3.9,1.4,Iris-versicolor,1,0.009509563,0.1080384,0.1784993
5,2,3.5,1,Iris-versicolor,1,0.07102442,0.2546415,0.2947878
5.9,3,4.2,1.5,Iris-versicolor,1,0.01152778,0.04854441,0.1880857
6,2.2,4,1,Iris-versicolor,1,0.0258286,0.1371911,0.3041707
6.1,2.9,4.7,1.4,Iris-versicolor,1,0.009857059,0.02402055,0.2668438
5.6,2.9,3.6,1.3,Iris-versicolor,1,0.01680279,0.1015575,0.1292034
6.7,3.1,4.4,1.4,Iris-versicolor,2,0.03199673,0.02634287,0.2374834
5.6,3,4.5,1.5,Iris-versicolor,1,0.01241624,0.04336488,0.2173035
5.8,2.7,4.1,1,Iris-versicolor,1,0.001072645,0.07138443,0.2093042
6.2,2.2,4.5,1.5,Iris-versicolor,1,0.02633047,0.1064301,0.3696994
5.6,2.5,3.9,1.1,Iris-versicolor,1,0.007380247,0.1106431,0.2173513
5.9,3.2,4.8,1.8,Iris-versicolor,2,0.03378701,0.02371955,0.2514666
6.1,2.8,4,1.3,Iris-versicolor,1,0.005239487,0.0631206,0.1937145
6.3,2.5,4.9,1.5,Iris-versicolor,1,0.01420474,0.04587722,0.361863
6.1,2.8,4.7,1.2,Iris-versicolor,1,0.006190896,0.02876437,0.278579
6.4,2.9,4.3,1.3,Iris-versicolor,1,0.01111937,0.0363946,0.227789
6.6,3,4.4,1.4,Iris-versicolor,1,0.02147436,0.0272522,0.2398187
6.8,2.8,4.8,1.4,Iris-versicolor,2,0.02258801,0.01896715,0.3247753
6.7,3,5,1.7,Iris-versicolor,2,0.03383541,0.006327629,0.3266498
6,2.9,4.5,1.5,Iris-versicolor,1,0.006683826,0.03395653,0.2371508
5.7,2.6,3.5,1,Iris-versicolor,1,0.01474607,0.1267532,0.1639092
5.5,2.4,3.8,1.1,Iris-versicolor,1,0.01474404,0.1344821,0.2255849
5.5,2.4,3.7,1,Iris-versicolor,1,0.01712871,0.1419108,0.2159818
5.8,2.7,3.9,1.2,Iris-versicolor,1,0.003741503,0.08414125,0.1879979
6,2.7,5.1,1.6,Iris-versicolor,1,0.01357484,0.02740383,0.3467711
5.4,3,4.5,1.5,Iris-versicolor,1,0.01433873,0.0513308,0.2141374
6,3.4,4.5,1.6,Iris-versicolor,2,0.05600715,0.04123068,0.2094647
6.7,3.1,4.7,1.5,Iris-versicolor,2,0.03492498,0.01413989,0.2763742
6.3,2.3,4.4,1.3,Iris-versicolor,1,0.01848626,0.09219837,0.3370103
5.6,3,4.1,1.3,Iris-versicolor,1,0.01271284,0.06383789,0.1696496
5.5,2.5,4,1.3,Iris-versicolor,1,0.006636977,0.1078771,0.2260513
5.5,2.6,4.4,1.2,Iris-versicolor,1,0.002128243,0.07478249,0.254091
6.1,3,4.6,1.4,Iris-versicolor,1,0.01419353,0.0249908,0.2437907
5.8,2.6,4,1.2,Iris-versicolor,1,0.002662897,0.08642864,0.2143086
5,2.3,3.3,1,Iris-versicolor,1,0.04634464,0.21482,0.1999271
5.6,2.7,4.2,1.3,Iris-versicolor,1,0.001009464,0.07232022,0.2161394
5.7,3,4.2,1.2,Iris-versicolor,1,0.01152778,0.05458713,0.1829969
5.7,2.9,4.2,1.3,Iris-versicolor,1,0.00579524,0.05726504,0.1926662
6.2,2.9,4.3,1.3,Iris-versicolor,1,0.007914543,0.03923249,0.2194952
5.1,2.5,3,1.1,Iris-versicolor,1,0.04739404,0.2111599,0.1367546
5.7,2.8,4.1,1.3,Iris-versicolor,1,0.002833128,0.06775641,0.193118
6.3,3.3,6,2.5,Iris-virginica,2,0.1041245,0.01303339,0.4604311
5.8,2.7,5.1,1.9,Iris-virginica,1,0.01293385,0.03280556,0.3410413
7.1,3,5.9,2.1,Iris-virginica,2,0.09074688,0.005757332,0.5016273
6.3,2.9,5.6,1.8,Iris-virginica,2,0.04388976,0.006614685,0.4138538
6.5,3,5.8,2.2,Iris-virginica,2,0.06508183,0.003265381,0.4487082
7.6,3,6.6,2.1,Iris-virginica,2,0.1724043,0.0369997,0.6799202
4.9,2.5,4.5,1.7,Iris-virginica,1,0.01675296,0.1109021,0.2808381
7.3,2.9,6.3,1.8,Iris-virginica,2,0.1239362,0.02113771,0.6032578
6.7,2.5,5.8,1.8,Iris-virginica,2,0.06220818,0.03639889,0.5279325
7.2,3.6,6.1,2.5,Iris-virginica,2,0.1869907,0.03843212,0.5319791
6.5,3.2,5.1,2,Iris-virginica,2,0.0494473,0.006119013,0.3183564
6.4,2.7,5.3,1.9,Iris-virginica,2,0.02611566,0.01777053,0.3934649
6.8,3,5.5,2.1,Iris-virginica,2,0.05646276,0.0007138252,0.4117595
5.7,2.5,5,2,Iris-virginica,1,0.01301575,0.05777287,0.3573946
5.8,2.8,5.1,2.4,Iris-virginica,1,0.014534,0.02599597,0.3272394
6.4,3.2,5.3,2.3,Iris-virginica,2,0.05477786,0.004383326,0.3451174
6.5,3,5.5,1.8,Iris-virginica,2,0.04829073,0.001606464,0.3959543
7.7,3.8,6.7,2.2,Iris-virginica,2,0.3083704,0.09762025,0.7072031
7.7,2.6,6.9,2.3,Iris-virginica,2,0.1984529,0.07853508,0.8060838
6,2.2,5,1.5,Iris-virginica,1,0.03348899,0.09441161,0.431707
6.9,3.2,5.7,2.3,Iris-virginica,2,0.08826447,0.002586365,0.4392767
5.6,2.8,4.9,2,Iris-virginica,1,0.009442329,0.03703499,0.2930835
7.7,2.8,6.7,2,Iris-virginica,2,0.1787317,0.05208135,0.7315832
6.3,2.7,4.9,1.8,Iris-virginica,1,0.01120687,0.02605891,0.3280612
6.7,3.3,5.7,2.1,Iris-virginica,2,0.09378672,0.005741119,0.4243083
7.2,3.2,6,1.8,Iris-virginica,2,0.1195936,0.009718895,0.5142016
6.2,2.8,4.8,1.8,Iris-virginica,1,0.009128571,0.02363634,0.2960492
6.1,3,4.9,1.8,Iris-virginica,2,0.01964235,0.01530743,0.2852021
6.4,2.8,5.6,2.1,Iris-virginica,2,0.04198599,0.01009893,0.429896
7.2,3,5.8,1.6,Iris-virginica,2,0.08863544,0.005669117,0.4900733
7.4,2.8,6.1,1.9,Iris-virginica,2,0.1094227,0.02210045,0.5827152
7.9,3.8,6.4,2,Iris-virginica,2,0.293056,0.09139538,0.6610146
6.4,2.8,5.6,2.2,Iris-virginica,2,0.04198599,0.01009893,0.429896
6.3,2.8,5.1,1.5,Iris-virginica,2,0.01854002,0.01489437,0.3439674
6.1,2.6,5.6,1.4,Iris-virginica,2,0.03652549,0.03052306,0.447606
7.7,3,6.1,2.3,Iris-virginica,2,0.1356454,0.022439,0.5857677
6.3,3.4,5.6,2.4,Iris-virginica,2,0.09321308,0.01388836,0.386168
6.4,3.1,5.5,1.8,Iris-virginica,2,0.05400658,0.001934052,0.3837239
6,3,4.8,1.8,Iris-virginica,1,0.01660478,0.02033603,0.2676327
6.9,3.1,5.4,2.1,Iris-virginica,2,0.06286931,0.0007331371,0.3933209
6.7,3.1,5.6,2.4,Iris-virginica,2,0.06639409,0.0002126694,0.4157318
6.9,3.1,5.1,2.3,Iris-virginica,2,0.05111957,0.004115343,0.3456084
5.8,2.7,5.1,1.9,Iris-virginica,1,0.01293385,0.03280556,0.3410413
6.8,3.2,5.9,2.3,Iris-virginica,2,0.0973537,0.004609346,0.4697969
6.7,3.3,5.7,2.5,Iris-virginica,2,0.09378672,0.005741119,0.4243083
6.7,3,5.2,2.3,Iris-virginica,2,0.04040837,0.002812862,0.3571979
6.3,2.5,5,1.9,Iris-virginica,1,0.0168612,0.04348922,0.3765069
6.5,3,5.2,2,Iris-virginica,2,0.0352807,0.00372839,0.3469814
6.2,3.4,5.4,2.3,Iris-virginica,2,0.08183742,0.0156219,0.3482721
5.9,3,5.1,1.8,Iris-virginica,2,0.02409315,0.01571369,0.3085393
